Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa,5.41927,5.7724,5.96376,6.60547,7.50573,8.64954,7.68922,8.27632,8.06872,8.73629,8.7131,8.90637,9.28089,9.00529,8.83978,8.00619,7.40469,6.94473,6.0914,5.81825,6.21781,6.35719,5.8988,6.00912,6.2959,6.21466,6.59287,6.20827,6.07587,5.9586,5.96149,6.07996,6.11155,6.3184,6.49037,6.81282,7.02397,7.23561,6.73131,6.53521,6.64413,6.75912,6.67644,6.37564,6.45455,6.73599,6.81919,6.55443,6.70268,6.99714,7.02267,6.93261,7.17944,7.59858,7.84052,8.81985,8.71522,8.92049,9.21528,9.3541
Africa (EI),5.41927,5.7724,5.96376,6.60547,7.50573,8.64954,7.68922,8.27632,8.06872,8.73629,8.7131,8.90637,9.28089,9.00529,8.83978,8.00619,7.40469,6.94473,6.0914,5.81825,6.21781,6.35719,5.8988,6.00912,6.2959,6.21466,6.59287,6.20827,6.07587,5.9586,5.96149,6.07996,6.11155,6.3184,6.49037,6.81282,7.02397,7.23561,6.73131,6.53521,6.64413,6.75912,6.67644,6.37564,6.45455,6.73599,6.81919,6.55443,6.70268,6.99714,7.02267,6.93261,7.17944,7.59858,7.84052,8.81985,8.71522,8.92049,9.21528,9.3541
Algeria,4.48735,3.31255,4.04235,5.17089,2.99565,4.39534,2.31051,3.08579,3.9327,2.34709,1.29583,1.31723,0.828733,0.612835,0.544376,0.403106,0.472603,0.536457,0.240944,0.482692,0.68443,0.250299,0.486221,0.166454,0.211353,0.119067,0.260826,0.17264,0.329121,0.152741,0.171221,0.121007,0.0699466,0.193708,0.181083,0.0500107,0.0613279,0.0485072,0.214343,0.194495,0.407659,0.15344,0.150416,0.176313,0.200008,0.108031,0.220966,0.21108,0.0607765,0.110373,0.0910188,0.136861,0.232082,0.271234,0.277038,0.282505,0.238047,0.227914,0.226671,0.241681
Argentina,1.03656,1.01697,1.01195,1.15377,1.00123,1.27437,1.19617,1.16348,2.15035,3.41943,3.64394,3.34888,3.6834,4.90342,6.312,9.00626,9.0038,10.5391,10.5974,11.3757,11.9793,11.6309,11.5833,7.94562,7.11589,9.72907,8.57003,9.63976,11.5525,12.5631,11.83,9.64613,11.7813,10.7801,8.60601,11.5567,15.0363,15.3348,13.6133,11.4648,12.0316,12.6778,10.024,9.8718,11.1934,11.092,10.4121,9.7013,10.1341,10.3962,10.2753,9.5864,10.4453,10.8238,11.417,11.8334,10.9475,12.0095,14.1001,14.803
Asia,7.43204,7.07204,6.35278,6.56913,5.94246,5.33874,5.35745,5.16831,4.45331,4.98689,5.12296,4.97153,4.60572,4.56627,4.72284,5.08881,5.38601,5.38584,5.35351,5.05834,5.06847,4.9153,4.78986,5.13549,5.03647,5.05187,4.90861,4.73491,5.02438,4.78013,4.98972,4.75086,4.6364,4.90798,4.67483,4.64941,4.81659,4.72416,4.54767,4.8382,4.66267,4.8526,4.82596,5.31489,5.17666,5.6267,5.56172,6.12373,6.59378,7.14522,7.46091,7.94388,8.36193,8.86181,9.46962,10.1969,10.664,11.397,11.6391,12.8408
Asia Pacific (EI),8.39785,7.95934,7.20072,7.3854,6.66348,6.04048,6.12459,5.89036,5.18592,5.75562,5.84604,5.58252,5.16454,5.08633,5.31981,5.67105,6.00534,5.99027,6.07067,5.77947,5.85851,5.78057,5.42645,5.59974,5.715,5.59781,5.48546,5.14015,5.32152,5.1249,5.36637,5.02817,4.94606,5.27544,5.07245,5.1107,5.35771,5.17135,4.90284,5.20522,5.04304,5.25155,5.28418,6.00286,5.84399,6.28016,6.25569,6.88902,7.44142,8.20223,8.49068,9.0731,9.54433,10.1232,10.5965,11.5156,12.1574,13.0058,13.2127,14.5133
Australia,5.25151,4.78687,4.67097,4.5909,4.79995,5.11517,5.49446,5.28321,5.27386,5.62166,5.94609,5.46922,4.97283,5.19817,4.87399,4.5866,4.65111,4.37539,4.17261,4.35446,4.49208,4.44,4.20129,4.30187,4.10132,4.13704,4.39402,4.38852,4.40695,4.19571,4.00172,3.99975,3.91435,3.81291,3.78578,3.76451,3.65537,3.71085,3.79651,3.82907,4.0951,4.02353,3.78647,3.49913,3.72217,4.08764,5.39196,5.39992,6.17269,5.66272,5.95531,6.7851,6.37347,7.84764,8.40721,10.2922,12.2826,13.247,14.3234,14.7332
Austria,23.9395,24.6603,24.9306,23.9422,21.2117,23.6237,18.6838,18.5605,19.1892,22.6215,23.8793,19.8903,24.109,23.1149,24.6063,25.6167,28.003,29.0154,28.8185,25.4845,28.5064,28.914,30.8686,31.4,31.0841,27.7644,26.5284,29.8279,30.7184,30.0277,30.1402,27.0745,28.264,28.5317,30.6676,31.2677,29.4114,28.9231,24.1205,26.1192,26.3166,26.9898,29.0941,29.577,32.5476,30.1131,29.1582,34.4982,34.0235,35.0167,33.0516,34.0264,33.2127,33.1392,34.1895,36.8799,34.6381,35.1341,40.0221,43.3474
Azerbaijan,1.55337,0.884186,0.912392,0.791428,0.776078,1.76964,1.9545,2.26719,3.63193,2.98078,2.69517,3.24758,3.77881,4.29108,3.31791,3.2335,2.82988,4.41867,4.96323,4.8663,4.86428,4.1138,4.17274,3.90579,4.67276,7.02084,4.77124,3.13323,2.61236,2.28774,2.59563,3.14475,2.86837,2.81745,2.45121,1.79045,1.93033,2.18825,2.29425,4.30314,,,,,,,,,,,,,,,,,,,,
Bangladesh,3.63433,3.2067,4.7343,3.2604,5.69855,5.53215,4.78665,5.21866,5.49199,4.67427,4.72698,3.58289,4.58901,5.75685,4.26404,2.38295,2.48068,2.90899,3.67974,3.33192,3.27374,2.85055,1.97932,2.59866,0.965353,1.83169,1.69598,1.91603,1.82431,1.62483,1.83062,1.45357,1.35263,1.23257,1.12298,1.05083,1.03684,1.2242,0.513171,0.834227,0.995304,0.846017,0.812807,0.686069,0.793176,0.740272,0.856878,0.708117,0.639568,0.652899,0.670576,0.692662,0.789992,1.09532,,,,,,
